SAT,SAT_Percentiles,ACT,ACT_Percentiles
1600,99,36,100
1590,99,35,99
1580,99,34,99
1570,99,33,98
1560,99,32,96
1550,99,31,95
1540,99,30,93
1530,99,29,90
1520,99,28,88
1510,99,27,85
1500,99,26,82
1490,99,25,78
1480,99,24,74
1470,99,23,70
1460,99,22,64
1450,99,21,59
1440,98,20,53
1430,98,19,47
1420,98,18,41
1410,97,17,35
1400,97,16,28
1390,97,15,22
1380,96,14,16
1370,96,13,10
1360,95,12,5
1350,94,11,2
1340,94,10,1
1330,93,9,1
1320,93,8,1
1310,92,7,1
1300,91,6,1
1290,90,5,1
1280,89,4,1
1270,88,3,1
1260,87,2,1
1250,86,1,1
1240,85,,
1230,84,,
1220,83,,
1210,82,,
1200,81,,
1190,80,,
1180,78,,
1170,77,,
1160,76,,
1150,74,,
1140,73,,
1130,71,,
1120,70,,
1110,69,,
1100,67,,
1090,65,,
1080,63,,
1070,61,,
1060,60,,
1050,58,,
1040,56,,
1030,54,,
1020,52,,
1010,50,,
1000,48,,
990,46,,
980,44,,
970,42,,
960,40,,
950,38,,
940,36,,
930,35,,
920,33,,
910,31,,
900,29,,
890,28,,
880,26,,
870,25,,
860,23,,
850,22,,
840,20,,
830,19,,
820,18,,
810,16,,
800,15,,
790,14,,
780,12,,
770,11,,
760,10,,
750,9,,
740,8,,
730,7,,
720,6,,
710,5,,
700,5,,
690,4,,
680,3,,
670,3,,
660,2,,
650,2,,
640,1,,
630,1,,
620,1,,
610,1,,
600,1,,
590,1,,
580,1,,
570,1,,
560,1,,
550,1,,
540,1,,
530,1,,
520,1,,
510,1,,
500,1,,
490,1,,
480,1,,
470,1,,
460,1,,
450,1,,
440,1,,
430,1,,
420,1,,
410,1,,
400,1,,
